Product URL,Product Name,Product Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTA0NTM1NTgyMzUwNjA4OjE2NzkzNzg0NTQ6c3BfYXRmOjIwMTI4MjU4Nzk1MTk4OjowOjo&url=%2FSwisslook-Polyester-15-6-inch-Backpack-Waterproof%2Fdp%2FB07XYTZP4Z%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1679378454%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft Travel Backpack,"₹2,849.00",4.3,"1,377 ratings","Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women     Compartments: 4 compartments including 1 main compartment for 15.6 inch laptop, 2 zippers at side, 1 anti-theft zipper at back keeping your wallet, cards and phone safe, 2 additional water pouches, Multiple interior slot pocket for your other belonging such as notebook, tablet, phones, water bottle. USB charging slot with ear phone hole     Capacity: 35-45 litres capacity used for daily office goers. Also used as travelling, hiking, trekking backpack     Accurate air bubbles reduces excess weight and stress by 55 % on your shoulders and Back tough air mesh cushion supports your spinal during long go     Compartment Description: Up To 15 Inches; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult ",B07XYTZP4Z,,Red Lemon
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTA0NTM1NTgyMzUwNjA4OjE2NzkzNzg0NTQ6c3BfYXRmOjIwMTI4MjU4Nzk2Njk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYMT7V1%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1679378454%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"₹4,599",4.3,61 ratings,"? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.",B09ZYMT7V1,Hard Ironlook Briefcase Laptop Bag   External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel. TROLLEY STRAP : The insertable pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Age Range Description: Adult Pattern Name: Solid Theme: Sports,Encon Impex Pvt Ltd
https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_2_2917444031_1,,,4.1,,,,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb?keywords=bags&qid=1679378454&sr=8-4,Skybags Brat Black 46 Cms Casual Backpack,₹659.00,4.1,"3,770 ratings","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",B08Z1HHHTD,,VIP Industries Ltd
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_4_1375464031_1,,,4.3,,,,,
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?keywords=bags&qid=1679378454&sr=8-6,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,₹949.00,3.9,"6,297 ratings","The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.    Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.    Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.    External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.    Manufacturer warranty - 2 years",B097RJ22Q3,,Bagzone Lifestyle Pvt Ltd
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?keywords=bags&qid=1679378454&sr=8-7,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.8,566 ratings,Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper,B09TPX22NF,Highlights,ADISA
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?keywords=bags&qid=1679378454&sr=8-8,Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue),₹689.00,3.9,"15,248 ratings","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,,Amazing Bags
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?keywords=bags&qid=1679378454&sr=8-9,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹214,3.7,"6,056 ratings","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",B019HA8AYG,,No
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_10?keywords=bags&qid=1679378454&sr=8-10,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,3.7,115 ratings,"MULTI-FUNCTION COMPARTMENT: HALF MOON backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.     DURABLE MATERIAL: Superior quality durable ECO Friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities     COMFORTABLE DESIGN: Our backpack's ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the backpack comfortable to wear even when loaded with all your gear; Compact:Backpack has a roomy Three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.     Size:18*13*10 inch(L*W*H), Capacity: 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; OTHER FEATURES: Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc     Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Water Resistant; Pattern Name: Solid; Water Resistance Level: Water Resistant ",B0BLVQ9NTD,,Half_Moon (AB Amazing Bags)
